Q3A,Q5A,Q10A,Q13A,Q16A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,score,label
2,4,1,4,4,1,4,4,4,3,1,2,4,38,high
2,4,2,4,3,2,2,3,2,2,4,2,2,34,high
4,4,4,4,4,4,4,1,4,4,4,4,4,49,high
2,3,3,1,2,1,1,2,3,4,2,1,2,27,high
3,4,3,4,3,3,2,4,3,4,3,3,3,42,high
2,3,2,1,4,1,2,1,2,1,2,2,2,25,high
2,4,4,2,4,4,3,2,4,3,4,4,3,43,high
1,3,1,1,1,1,1,2,1,1,1,1,2,17,moderate
3,3,3,4,4,3,3,4,4,4,4,3,4,46,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
2,3,1,2,3,1,3,1,3,2,1,2,2,26,high
2,4,3,3,1,2,2,3,2,3,1,2,2,30,high
1,1,3,3,3,3,2,3,1,2,4,2,2,30,high
1,3,1,4,3,1,3,1,2,1,1,1,3,25,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
2,2,2,2,2,2,2,3,2,2,2,1,3,27,high
2,1,1,3,1,1,2,4,1,1,1,1,3,22,high
2,2,2,2,3,2,2,2,3,2,2,1,1,26,high
2,3,2,1,3,1,3,1,3,1,1,2,4,27,high
2,4,2,3,2,3,3,3,2,2,3,2,4,35,high
2,2,2,3,1,1,1,3,1,2,1,1,2,22,high
2,3,3,2,3,2,4,2,3,2,2,2,3,33,high
3,3,4,4,3,4,3,4,3,4,4,4,3,46,high
2,1,2,3,2,2,2,3,3,3,2,1,4,30,high
2,3,2,3,3,2,2,4,2,2,3,2,3,33,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
4,4,3,4,3,3,4,4,4,4,4,3,4,48,high
1,1,2,3,3,1,4,2,1,1,1,1,1,22,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
2,1,2,1,3,2,3,1,1,1,2,2,1,22,high
3,3,2,3,2,2,4,3,2,3,3,3,2,35,high
2,4,2,4,2,4,3,4,1,4,2,4,4,40,high
1,2,1,2,1,1,1,1,1,1,1,1,2,16,moderate
2,1,1,2,2,1,2,3,2,2,1,1,3,23,high
2,1,1,2,3,1,2,1,2,3,1,2,4,25,high
1,2,1,2,3,2,2,3,1,2,2,3,3,27,high
